lr-AdamW,step,train_loss_step,epoch,val_loss,val_acc,val_f1,train_loss_epoch,train_acc,train_f1
0.001,49,,,,,,,,
,49,2.2888829708099365,0,,,,,,
0.001,99,,,,,,,,
,99,2.2639501094818115,0,,,,,,
0.001,149,,,,,,,,
,149,2.2837984561920166,0,,,,,,
0.001,199,,,,,,,,
,199,2.309814691543579,0,,,,,,
0.001,249,,,,,,,,
,249,2.3449370861053467,0,,,,,,
0.001,299,,,,,,,,
,299,2.263221025466919,0,,,,,,
0.001,349,,,,,,,,
,349,2.3395416736602783,0,,,,,,
0.001,399,,,,,,,,
,399,2.215765953063965,0,,,,,,
0.001,449,,,,,,,,
,449,1.765886902809143,0,,,,,,
0.001,499,,,,,,,,
,499,1.8238470554351807,0,,,,,,
0.001,549,,,,,,,,
,549,1.556610107421875,0,,,,,,
0.001,599,,,,,,,,
,599,1.2854810953140259,0,,,,,,
0.001,649,,,,,,,,
,649,1.3469783067703247,0,,,,,,
0.001,699,,,,,,,,
,699,1.3268883228302002,0,,,,,,
0.001,749,,,,,,,,
,749,1.0845012664794922,0,,,,,,
0.001,799,,,,,,,,
,799,0.8815046548843384,0,,,,,,
0.001,849,,,,,,,,
,849,0.9422881007194519,0,,,,,,
0.001,899,,,,,,,,
,899,0.7134495377540588,0,,,,,,
0.001,949,,,,,,,,
,949,0.5626201629638672,0,,,,,,
0.001,999,,,,,,,,
,999,0.704159140586853,0,,,,,,
0.001,1049,,,,,,,,
,1049,0.48994335532188416,0,,,,,,
0.001,1099,,,,,,,,
,1099,0.5765384435653687,0,,,,,,
0.001,1149,,,,,,,,
,1149,0.6989688873291016,0,,,,,,
0.001,1199,,,,,,,,
,1199,0.39256757497787476,0,,,,,,
0.001,1249,,,,,,,,
,1249,0.7667267322540283,0,,,,,,
0.001,1299,,,,,,,,
,1299,0.30897241830825806,0,,,,,,
0.001,1349,,,,,,,,
,1349,0.39390653371810913,0,,,,,,
0.001,1399,,,,,,,,
,1399,0.5121294260025024,0,,,,,,
0.001,1449,,,,,,,,
,1449,0.49536165595054626,0,,,,,,
0.001,1499,,,,,,,,
,1499,0.7428812384605408,0,,,,,,
0.001,1549,,,,,,,,
,1549,0.43067505955696106,0,,,,,,
0.001,1599,,,,,,,,
,1599,0.37010931968688965,0,,,,,,
0.001,1649,,,,,,,,
,1649,0.7988601326942444,0,,,,,,
0.001,1699,,,,,,,,
,1699,0.5197361707687378,0,,,,,,
0.001,1749,,,,,,,,
,1749,0.490352064371109,0,,,,,,
0.001,1799,,,,,,,,
,1799,0.6919575929641724,0,,,,,,
0.001,1849,,,,,,,,
,1849,0.37958449125289917,0,,,,,,
,1874,,0,0.3748874068260193,0.8830000162124634,0.8830000162124634,,,
,1874,,0,,,,1.1281373500823975,0.5925999879837036,0.5925999879837036
